row,source_code,source_name,source_address,source_phone,status,score,name_score,address_score,phone_score,notion_name,notion_address,notion_type,notion_code,notion_page_id,second_name,second_score
11,103028,村松牙體技術所,台北市大同區大龍街259巷14號2樓,02-25996457 / 02-25940410 / 0933-718948,review,0.64,1,0,0,村松牙體技術所,臺北市大同區重慶北路二段207號2樓之1,牙體技術所,2Y01090017,335dcdaa-fb2a-8139-8579-ecc2e5b988a2,石松牙體技術所,0.35
14,104003,鼎將技工所(詹先生),台北市中山區吉林路254-2號3樓,2560-3372 / 0939-122485,review,0.703,0.787,0.55,0,鼎將牙體技術所,臺北市中山區吉林路254之2號3樓,牙體技術所,2Y01100081,335dcdaa-fb2a-8184-b5e8-d7d44414f49e,詹牙醫診所,0.323
25,108034,威登牙體技術所,新北市三重區光復路一段83巷4號5樓,2314-9716,review,0.76,0.62,1,0,威登數位牙體技術所,新北市三重區光復路一段83巷4號5樓,牙體技術所,2Y31020596,335dcdaa-fb2a-816b-80e2-d708445145c0,威登牙醫診所,0.64
27,108037,奇技牙體技術所,台北市萬華區長泰街19巷1號5樓,(02)2303-9572,review,0.72,1,0,1,奇技牙體技術所,臺北市萬華區東園街28巷27號3樓,牙體技術所,2Y01190067,335dcdaa-fb2a-81d4-8839-c2666ca4f574,享奇蹟生技有限公司,0.371
36,116030,億昇牙體技術所(張世祥先生),台北市文山區興隆路4段165巷4號3樓,2234-9719  0937-142370,review,0.682,0.52,1,0,億昇牙體技術所,臺北市文山區興隆路4段165巷4號3樓,牙體技術所,,336dcdaa-fb2a-8165-9b5d-ed9141ef1489,欣雅牙體技術所,0.247
37,220010,仁傑技工所(李文傑),新北市土城區延和路88巷6號1樓,0912-369466,review,0.682,0.52,1,0,仁傑牙體技術所,新北市土城區延和路88巷6號1樓,牙體技術所,,336dcdaa-fb2a-8184-9ac8-e85b0d183582,劉仁傑先生,0.33
40,220036,尚好技工所-歇業,新北市板橋區文聖街76號3樓,,review,0.69,0.5,1,0,上好牙體技術所,新北市板橋區文聖街76號3樓,牙體技術所,2Y31010376,335dcdaa-fb2a-819f-a915-da12ff7f5da9,尚好牙體技術所,0.62
47,220103,育全技工所(鄧先生),新北市板橋區僑中二街48巷3號1F,2965-6841,review,0.703,0.787,0.55,0,育全牙體技術所,新北市板橋區僑中二街48巷3號1樓,牙體技術所,2Y31010241,335dcdaa-fb2a-81b8-a8b0-cfea7f5a6d0c,育安牙醫診所,0.292
50,220147,寰宇牙醫診所,新北市板橋區南雅西路2段2號2樓,(02)2960-5778,review,0.35,1,0,0,寰宇牙醫診所,臺北市南港區舊莊街1段91巷14之1號(1樓),牙醫診所,3701121890,335dcdaa-fb2a-8146-8050-d10835b91c53,泓宇牙體技術所,0.35
54,234052,澄恩牙體技術所(吳先生),新北市永和區保平路203巷9號1F,8660-6855 0955-824702,review,0.703,0.787,0.55,0,澄恩牙體技術所,新北市永和區保平路203巷9號1樓,牙體技術所,2Y31030154,335dcdaa-fb2a-81f5-92c2-e1d030d9f758,澄牙醫診所,0.323
72,239002,富鴻牙體技術所(林沿洲先生),新北市鶯歌區大湖路142巷13號,2677-5949 0917-567777,review,0.682,0.52,1,0,富鴻牙體技術所,新北市鶯歌區大湖路142巷13號,牙體技術所,,336dcdaa-fb2a-81ca-aed0-df4bb18b3fcf,富鴻牙體技術所,0.362
77,241011,齒匠技工所(林世能先生),新北市新莊區建安街87巷1號1樓,2279-5554 0938-482172,review,0.682,0.52,1,0,齒匠牙體技術所,新北市新莊區建安街87巷1號1樓,牙體技術所,,336dcdaa-fb2a-8192-9137-c17e96759da7,承心牙醫診所,0.247
